Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2023-2024,4/11/2024,Knuckleheads,Scieffer,Rock Creek Curling,Win,W,B,Green,Competitive League,8,8.0,8,5,5,3,1,2
2023-2024,4/18/2024,Knuckleheads,Stavely,Rock Creek Curling,Loss,L,E,Yellow,Competitive League,8,7.0,3,8,5,2,0,3
2023-2024,4/25/2024,Knuckleheads,Finlon,Rock Creek Curling,Win,W,E,Yellow,Competitive League,8,6.0,10,3,4,2,1,2
2023-2024,5/2/2024,Knuckleheads,Simons,Rock Creek Curling,Win,W,C,Green,Competitive League,8,8.0,15,5,2,6,4,1
2023-2024,5/9/2024,Knuckleheads,Wood,Rock Creek Curling,Win,W,B,Yellow,Competitive League,8,3.0,15,0,1,2,2,0
2023-2024,5/16/2024,Knuckleheads,Stevinson,Rock Creek Curling,Win,W,C,Green,Competitive League,8,7.0,9,4,1,6,5,0
2023-2024,5/23/2024,Knuckleheads,Dunlop,Rock Creek Curling,Loss,L,B,Green,Competitive League,8,8.0,8,9,4,4,1,1
2025-2026,10/2/2025,Knuckleheads,Animas,Rock Creek Curling,Loss,L,E,Green,Competitive League,8,6.0,5,14,4,2,0,2
2025-2026,10/9/2025,Knuckleheads,Fryingpan,Rock Creek Curling,Loss,L,F,Green,Competitive League,8,6.0,3,8,4,2,0,3
2025-2026,10/16/2025,Knuckleheads,Gunnison,Rock Creek Curling,Win,W,A,Green,Competitive League,8,6.0,9,2,2,4,2,0
2025-2026,10/23/2025,Knuckleheads,Huerfano,Rock Creek Curling,,T,,,Competitive League,8,,0,0,0,0,0,0
2025-2026,10/30/2025,Knuckleheads,Dolores,Rock Creek Curling,,T,,,Competitive League,8,,0,0,0,0,0,0
2025-2026,11/6/2025,Knuckleheads,Eagle,Rock Creek Curling,,T,,,Competitive League,8,,0,0,0,0,0,0
2025-2026,11/13/2025,Knuckleheads,Bear,Rock Creek Curling,,T,,,Competitive League,8,,0,0,0,0,0,0
2025-2026,11/20/2025,Knuckleheads,Playoffs,Rock Creek Curling,,T,,,Competitive League,8,,0,0,0,0,0,0
