Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2023-2024,3/25/2023,Monday_Hijinks,Sleeper,Denver Curling Club,Win,L,C,Yellow,Social Leauge,8,8.0,4,7,2,5,3,2
2023-2024,4/1/2023,Monday_Hijinks,Wilson,Denver Curling Club,Win,W,A,Yellow,Social Leauge,8,8.0,9,6,4,4,1,0
2023-2024,10/2/2023,Monday_Hijinks,Rain,Denver Curling Club,Loss,L,A,Yellow,Social Leauge,8,8.0,5,6,5,3,0,2
2023-2024,10/9/2023,Monday_Hijinks,White,Denver Curling Club,Win,W,B,Red,Social Leauge,8,6.0,12,3,4,2,0,0
2023-2024,10/16/2023,Monday_Hijinks,Maule,Denver Curling Club,Win,W,A,Red,Social Leauge,8,6.0,5,1,3,3,2,0
2023-2024,10/23/2023,Monday_Hijinks,Mason,Denver Curling Club,Win,W,C,Red,Social Leauge,8,7.0,6,3,3,4,3,2
2023-2024,10/30/2023,Monday_Hijinks,Thomas,Denver Curling Club,Win,W,D,Red,Social Leauge,8,7.0,14,4,2,5,5,1
2023-2024,11/6/2023,Monday_Hijinks,Riley,Denver Curling Club,Win,W,C,Yellow,Social Leauge,8,6.0,10,1,2,4,3,0
2023-2024,11/13/2023,Monday_Hijinks,Wellen,Denver Curling Club,Win,W,B,Red,Social Leauge,8,7.0,5,2,2,4,3,1
2023-2024,11/27/2023,Monday_Hijinks,Maule,Denver Curling Club,Win,W,C,Red,Social Leauge,8,6.0,9,3,2,4,2,0
2023-2024,12/4/2023,Monday_Hijinks,White,Denver Curling Club,Win,W,A,Yellow,Social Leauge,8,6.0,8,2,2,4,3,1
2023-2024,12/11/2023,Monday_Hijinks,Wilson,Denver Curling Club,Win,W,D,Red,Social Leauge,8,6.0,10,3,3,3,1,1
2023-2024,12/18/2023,Monday_Hijinks,Schrieber,Denver Curling Club,Win,W,B,Yellow,Social Leauge,8,8.0,19,0,1,7,7,0
2023-2024,1/8/2024,Monday_Hijinks,Sleeper,Denver Curling Club,Win,W,B,Red,Social Leauge,8,6.0,13,1,2,4,3,0
2023-2024,1/15/2024,Monday_Hijinks,Brandshaw,Denver Curling Club,Win,W,A,Red,Social Leauge,8,7.0,8,5,4,3,0,1
2023-2024,1/22/2024,Monday_Hijinks,Lee,Denver Curling Club,Loss,L,A,Red,Social Leauge,8,8.0,7,8,3,5,2,0
2023-2024,1/29/2024,Monday_Hijinks,Doherty,Denver Curling Club,Tie,T,C,Yellow,Social Leauge,8,8.0,5,5,4,4,1,1
2023-2024,2/5/2024,Monday_Hijinks,Rein,Denver Curling Club,Win,W,D,Red,Social Leauge,8,6.0,8,1,2,4,2,0
2023-2024,2/12/2024,Monday_Hijinks,Dunn,Denver Curling Club,Win,W,D,Yellow,Social Leauge,8,6.0,14,2,3,3,2,1
2023-2024,2/19/2024,Monday_Hijinks,Cunningham,Denver Curling Club,Win,W,C,Yellow,Social Leauge,8,6.0,7,5,3,3,1,1
2023-2024,3/18/2024,Monday_Hijinks,Dunn,Denver Curling Club,Loss,L,D,Red,Social Leauge,8,7.0,2,8,5,2,1,4
