Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2023-2024,9/14/2023,Subbing,Feldman,Denver Curling Club,Win,W,A,Yellow,Bonspiel,8,8,8,6,4,4,1,0
2023-2024,9/15/2023,Subbing,Neill,Denver Curling Club,Loss,L,B,Red,Bonspiel,8,7,4,6,4,3,1,1
2023-2024,9/22/2023,Subbing,Craftwerk,Denver Curling Club,Win,W,D,Yellow,Bonspiel,8,7,7,3,3,4,3,1
2023-2024,9/23/2023,Subbing,Braustolz,Denver Curling Club,Loss,L,B,Red,Bonspiel,8,7,5,7,5,2,1,3
2023-2024,9/23/2023,Subbing,Watzdorfer,Denver Curling Club,Win,W,D,Yellow,Bonspiel,8,7,11,1,2,5,4,0
2023-2024,9/24/2023,Subbing,Holzlandbrau,Denver Curling Club,Loss,L,C,Yellow,Bonspiel,8,6,2,5,4,2,0,2
2023-2024,9/29/2023,Subbing,FAC,Denver Curling Club,Win,W,B,Yellow,Social Leauge,8,7,8,2,2,5,3,0
2023-2024,10/4/2023,Subbing,Weds Night,Denver Curling Club,Win,W,C,Red,Social Leauge,8,8,7,6,4,4,2,2
2023-2024,10/10/2023,Subbing,Tues Comp,Denver Curling Club,Loss,L,D,Yellow,Competitive League,8,7,3,7,4,3,1,2
2023-2024,10/20/2023,Subbing,FAC,Denver Curling Club,Loss,L,C,Red,Social Leauge,8,7,5,8,4,3,0,2
2023-2024,10/23/2023,Subbing,Scrimmage,Denver Curling Club,Loss,L,D,Yellow,Social Leauge,8,6,3,8,4,2,0,2
2023-2024,10/24/2023,Subbing,Tues Comp,Denver Curling Club,Win,W,D,Yellow,Competitive League,8,6,8,1,2,4,3,0
2023-2024,11/7/2023,Subbing,Tues Comp,Denver Curling Club,Win,W,C,Red,Competitive League,8,7,8,6,2,5,2,0
2023-2024,11/10/2023,Subbing,FAC,Denver Curling Club,Win,W,A,Yellow,Social Leauge,8,8,6,4,3,5,3,1
2023-2024,11/11/2023,Subbing,Mixed Doubles,Rock Creek Curling,Win,W,F,Yellow,Social Leauge,8,8,13,9,4,4,0,0
2023-2024,11/17/2023,Subbing,Buy Me a Margarita,Coyotes Curling Club,Win,W,B,Red,Bonspiel,8,8,7,4,4,4,1,0
2023-2024,11/18/2023,Subbing,Fiesta Friends,Coyotes Curling Club,Win,W,D,Red,Bonspiel,8,6,16,1,2,4,3,0
2023-2024,11/18/2023,Subbing,Un Borracho,Coyotes Curling Club,Win,W,C,Yellow,Bonspiel,8,6,9,4,3,3,1,0
2023-2024,11/19/2023,Subbing,Rockin Around,Coyotes Curling Club,Win,W,D,Red,Bonspiel,8,6,7,3,1,5,3,0
2023-2024,11/19/2023,Subbing,Waiting to Get Cut,Coyotes Curling Club,Win,T,C,Red,Bonspiel,8,9,7,7,6,3,0,2
2023-2024,12/5/2023,Subbing,Tues Comp,Denver Curling Club,Win,W,D,Red,Competitive League,8,8,7,6,3,5,2,1
2023-2024,12/12/2023,Subbing,Tues Comp,Denver Curling Club,Win,W,A,Red,Competitive League,8,8,6,5,5,3,1,2
2023-2024,1/2/2024,Subbing,Tues Comp,Denver Curling Club,Loss,L,D,Red,Competitive League,8,6,3,13,4,2,0,3
2023-2024,1/16/2024,Subbing,Tues Comp,Denver Curling Club,Loss,L,A,Yellow,Competitive League,8,8,4,6,3,5,1,0
2023-2024,1/30/2024,Subbing,Tues Comp,Denver Curling Club,Win,W,C,Red,Competitive League,8,8,8,3,5,3,2,2
