Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2023-2024,10/5/2023,Thursday_Rookies,Andrews,Rock Creek Curling,Loss,L,E,Green,Competitive League,8,8,6,8,2,6,4,1
2023-2024,10/12/2023,Thursday_Rookies,Carle,Rock Creek Curling,Win,W,B,Green,Competitive League,8,6,7,1,0,6,5,0
2023-2024,10/19/2023,Thursday_Rookies,Wood,Rock Creek Curling,Loss,L,D,Green,Competitive League,8,8,5,6,3,5,2,1
2023-2024,10/26/2023,Thursday_Rookies,Stavely,Rock Creek Curling,Win,W,D,Yellow,Competitive League,8,8,8,6,4,4,1,0
2023-2024,11/2/2023,Thursday_Rookies,Marlow,Rock Creek Curling,Win,W,F,Yellow,Competitive League,8,7,10,3,3,4,2,1
2023-2024,11/9/2023,Thursday_Rookies,Mansell,Rock Creek Curling,Loss,L,A,Yellow,Competitive League,8,4,0,11,4,0,0,4
2023-2024,11/16/2023,Thursday_Rookies,Henning,Rock Creek Curling,Loss,L,E,Green,Competitive League,8,9,9,10,5,4,1,2
2023-2024,11/30/2023,Thursday_Rookies,Sobering,Rock Creek Curling,Win,W,E,Green,Competitive League,8,8,5,3,2,6,3,1
2023-2024,1/4/2024,Thursday_Rookies,Carle,Rock Creek Curling,Loss,L,B,Yellow,Competitive League,8,8,7,10,3,5,1,1
2023-2024,1/18/2024,Thursday_Rookies,Schiestel,Rock Creek Curling,Loss,L,F,Yellow,Competitive League,8,6,4,8,4,2,0,1
2023-2024,1/25/2024,Thursday_Rookies,Weldon,Rock Creek Curling,Loss,L,C,Green,Competitive League,8,6,4,8,1,5,3,0
2023-2024,2/1/2024,Thursday_Rookies,Spielman,Rock Creek Curling,Loss,L,F,Green,Competitive League,8,6,2,8,4,2,0,2
2023-2024,2/8/2024,Thursday_Rookies,Roselle,Rock Creek Curling,Win,W,C,Yellow,Competitive League,8,6,12,4,2,4,2,0
2023-2024,2/22/2024,Thursday_Rookies,Andrews,Rock Creek Curling,Win,W,F,Yellow,Competitive League,8,8,8,2,3,5,3,1
2023-2024,2/25/2024,Thursday_Rookies,Smith,Rock Creek Curling,Win,W,E,Green,Competitive League,8,6,9,0,0,6,6,0
2023-2024,2/29/2024,Thursday_Rookies,Biesecker,Rock Creek Curling,Win,W,D,Green,Competitive League,8,8,10,4,3,5,4,2
2023-2024,3/14/2024,Thursday_Rookies,Brekke,Rock Creek Curling,Loss,L,B,Yellow,Competitive League,8,7,4,5,3,4,2,1
