Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2024-2025,10/8/2024,Tuesday_Sobering,Danahey,Denver Curling Club,Loss,L,B,Red,Competitive League,8,8.0,5,9,4,4,0,1
2024-2025,10/22/2024,Tuesday_Sobering,Dudt,Denver Curling Club,Loss,T,A,Red,Competitive League,8,9.0,7,7,3,6,3,1
2024-2025,10/29/2024,Tuesday_Sobering,Wolfe,Denver Curling Club,Win,W,C,Yellow,Competitive League,8,7.0,11,2,2,5,2,0
2024-2025,11/5/2024,Tuesday_Sobering,Wishart,Denver Curling Club,Win,W,B,Yellow,Competitive League,8,7.0,6,3,4,3,1,1
2024-2025,11/19/2024,Tuesday_Sobering,Moir,Denver Curling Club,Loss,L,A,Yellow,Competitive League,8,7.0,4,5,4,3,0,1
2024-2025,12/10/2024,Tuesday_Sobering,Moir,Denver Curling Club,Win,W,B,Yellow,Competitive League,8,7.0,10,3,1,6,5,0
2024-2025,12/17/2024,Tuesday_Sobering,Bata,Denver Curling Club,Loss,L,C,Red,Competitive League,8,7.0,4,7,5,2,0,4
2024-2025,1/7/2025,Tuesday_Sobering,Wishart,Denver Curling Club,Win,W,C,Yellow,Competitive League,8,7.0,10,5,3,4,2,1
2024-2025,1/14/2025,Tuesday_Sobering,Culbertson,Denver Curling Club,Win,T,B,Yellow,Competitive League,8,8.0,6,6,4,4,2,2
2024-2025,1/21/2025,Tuesday_Sobering,Wolfe,Denver Curling Club,Win,W,D,Yellow,Competitive League,8,6.0,10,1,1,5,4,0
2024-2025,1/28/2025,Tuesday_Sobering,Kizlyk,Denver Curling Club,Win,W,B,Yellow,Competitive League,8,8.0,6,4,5,3,1,1
2024-2025,2/11/2025,Tuesday_Sobering,Rose,Denver Curling Club,Win,W,A,Red,Competitive League,8,7.0,9,7,3,4,2,2
2024-2025,2/18/2025,Tuesday_Sobering,Sobering,Denver Curling Club,Loss,L,B,Red,Competitive League,8,6.0,2,6,4,2,0,2
2024-2025,3/4/2025,Tuesday_Sobering,Suhr,Denver Curling Club,Loss,L,C,Yellow,Competitive League,8,7.0,3,5,4,3,1,1
2024-2025,3/11/2025,Tuesday_Sobering,Falco,Denver Curling Club,Loss,L,D,Yellow,Competitive League,8,4.0,3,9,3,1,0,2
2024-2025,3/18/2025,Tuesday_Sobering,Mansell,Denver Curling Club,Loss,L,B,Yellow,Competitive League,8,6.0,1,7,5,1,0,4
2024-2025,4/1/2025,Tuesday_Sobering,Rose,Denver Curling Club,Win,W,C,Red,Competitive League,8,7.0,7,1,1,6,5,0
